customerID,CVV No,City
5954-BDFSG,882,Delhi
0434-CSFON,896.7,Noida
1215-FIGMP,911.4,Delhi
0526-SXDJP,926.1,Chennai
0557-ASKVU,940.8,Kolkata
5698-BQJOH,955.5,Chandigarh
5122-CYFXA,970.2,Delhi
8627-ZYGSZ,984.9,Noida
3410-YOQBQ,999.6,Delhi
3170-NMYVV,1014.3,Chennai
7410-OIEDU,1029,Kolkata
2273-QCKXA,1043.7,Chandigarh
0731-EBJQB,1058.4,Delhi
1891-QRQSA,1073.1,Noida
8028-PNXHQ,1087.8,Delhi
5630-AHZIL,1102.5,Chennai
2673-CXQEU,1117.2,Kolkata
6416-JNVRK,1131.9,Chandigarh
5590-ZSKRV,1146.6,Delhi
0191-ZHSKZ,1161.3,Noida
3887-PBQAO,1176,Delhi
5919-TMRGD,1190.7,Chennai
8108-UXRQN,1205.4,Kolkata
9191-MYQKX,1220.1,Chandigarh
9919-YLNNG,1234.8,Delhi
0318-ZOPWS,1249.5,Noida
4445-ZJNMU,1264.2,Delhi
4808-YNLEU,1278.9,Chennai
1862-QRWPE,1293.6,Kolkata
2796-NNUFI,1308.3,Chandigarh
3016-KSVCP,1323,Delhi
4767-HZZHQ,1337.7,Noida
2424-WVHPL,1352.4,Delhi
7233-PAHHL,1367.1,Chennai
6067-NGCEU,1381.8,Kolkata
9848-JQJTX,1396.5,Chandigarh
8637-XJIVR,1411.2,Delhi
9803-FTJCG,1425.9,Noida
0278-YXOOG,1440.6,Delhi
3212-KXOCR,1455.3,Chennai
4598-XLKNJ,1470,Kolkata
6380-ARCEH,1484.7,Chandigarh
3679-XASPY,1499.4,Delhi
7123-WQUHX,1514.1,Noida
5386-THSLQ,1528.8,Delhi
3192-NQECA,1543.5,Chennai
6180-YBIQI,1558.2,Kolkata
6728-DKUCO,1572.9,Chandigarh
9750-BOOHV,1587.6,Delhi
8597-CWYHH,1602.3,Noida
2848-YXSMW,1617,Delhi
0486-HECZI,1631.7,Chennai
4549-ZDQYY,1646.4,Kolkata
5712-AHQNN,1661.1,Chandigarh
4846-WHAFZ,1675.8,Delhi
5256-SKJGO,1690.5,Noida
3071-VBYPO,1705.2,Delhi
9560-BBZXK,1719.9,Chennai
5299-RULOA,1734.6,Kolkata
8402-OOOHJ,1749.3,Chandigarh
9445-ZUEQE,1764,Delhi
1091-SOZGA,1778.7,Noida
2928-HLDBA,1793.4,Delhi
0404-SWRVG,1808.1,Chennai
6497-TILVL,1822.8,Kolkata
7219-TLZHO,1837.5,Chandigarh
4622-YNKIJ,1852.2,Delhi
4412-YLTKF,1866.9,Noida
6734-PSBAW,1881.6,Delhi
3930-ZGWVE,1896.3,Chennai
2639-UGMAZ,1911,Kolkata
2876-GZYZC,1925.7,Chandigarh
6207-WIOLX,1940.4,Delhi
8587-XYZSF,1955.1,Noida
3091-FYHKI,1969.8,Delhi
2372-HWUHI,1984.5,Chennai
7799-LGRDP,1999.2,Kolkata
7850-VWJUU,2013.9,Chandigarh
3774-VBNXY,2028.6,Delhi
6217-KDYWC,2043.3,Noida
0390-DCFDQ,2058,Delhi
3146-MSEGF,2072.7,Chennai
4080-OGPJL,2087.4,Kolkata
1095-WGNGG,2102.1,Chandigarh
2636-SJDOU,2116.8,Delhi
1131-QQZEB,2131.5,Noida
5716-EZXZN,2146.2,Delhi
6837-BJYDQ,2160.9,Chennai
2135-RXIHG,2175.6,Kolkata
6440-DKQGE,2190.3,Chandigarh
3466-BYAVD,2205,Delhi
3780-YVMFA,2219.7,Noida
3874-EQOEP,2234.4,Delhi
1679-JRFBR,2249.1,Chennai
9073-ZZIAY,2263.8,Kolkata
3077-RSNTJ,2278.5,Chandigarh
6551-GNYDG,2293.2,Delhi
9167-APMXZ,2307.9,Noida
2749-CTKAJ,2322.6,Delhi
6371-NZYEG,2337.3,Chennai
7554-NEWDD,2352,Kolkata
8992-VONJD,2366.7,Chandigarh
0867-MKZVY,2381.4,Delhi
4482-EWFMI,2396.1,Noida
4648-YPBTM,2410.8,Delhi
2907-ILJBN,2425.5,Chennai
6345-FZOQH,2440.2,Kolkata
3376-BMGFE,2454.9,Chandigarh
5997-OPVFA,2469.6,Delhi
3445-HXXGF,2484.3,Noida
1159-WFSGR,2499,Delhi
7654-YWJUF,2513.7,Chennai
1875-QIVME,2528.4,Kolkata
6727-IOTLZ,2543.1,Chandigarh
0691-JVSYA,2557.8,Delhi
5918-VUKWP,2572.5,Noida
1744-JHKYS,2587.2,Delhi
2656-FMOKZ,2601.9,Chennai
2070-FNEXE,2616.6,Kolkata
5947-SGKCL,2631.3,Chandigarh
3712-PKXZA,2646,Delhi
6317-YPKDH,2660.7,Noida
6582-OIVSP,2675.4,Delhi
9367-WXLCH,2690.1,Chennai
5524-KHNJP,2704.8,Kolkata
1918-ZBFQJ,2719.5,Chandigarh
1024-GUALD,2734.2,Delhi
4827-USJHP,2748.9,Noida
8167-GJLRN,2763.6,Delhi
0956-SYCWG,2778.3,Chennai
8017-UVSZU,2793,Kolkata
7100-FQPRV,2807.7,Chandigarh
2472-OVKUP,2822.4,Delhi
2984-RGEYA,2837.1,Noida
9680-NIAUV,2851.8,Delhi
2146-EGVDT,2866.5,Chennai
2604-IJPDU,2881.2,Kolkata
9178-JHUVJ,2895.9,Chandigarh
6168-YBYNP,2910.6,Delhi
7255-SSFBC,2925.3,Noida
3645-DEYGF,2940,Delhi
9323-HGFWY,2954.7,Chennai
8544-GOQSH,2969.4,Kolkata
3363-DTIVD,2984.1,Chandigarh
7018-WBJNK,2998.8,Delhi
9142-KZXOP,3013.5,Noida
7674-YTAFD,3028.2,Delhi
6348-SNFUS,3042.9,Chennai
1285-OKIPP,3057.6,Kolkata
7825-ECJRF,3072.3,Chandigarh
1347-KTTTA,3087,Delhi
7841-TZDMQ,3101.7,Noida
4195-NZGTA,3116.4,Delhi
7157-SMCFK,3131.1,Chennai
4709-LKHYG,3145.8,Kolkata
2504-DSHIH,3160.5,Chandigarh
0699-NDKJM,3175.2,Delhi
9286-BHDQG,3189.9,Noida
0230-WEQUW,3204.6,Delhi
2040-LDIWQ,3219.3,Chennai
6496-JDSSB,3234,Kolkata
9408-SSNVZ,3248.7,Chandigarh
4443-EMBNA,3263.4,Delhi
6469-MRVET,3278.1,Noida
0742-MOABM,3292.8,Delhi
5961-VUSRV,3307.5,Chennai
6778-JFCMK,3322.2,Kolkata
6341-JVQGF,3336.9,Chandigarh
2232-DMLXU,3351.6,Delhi
4811-JBUVU,3366.3,Noida
0945-TSONX,3381,Delhi
2651-ZCBXV,3395.7,Chennai
3316-UWXUY,3410.4,Kolkata
8937-RDTHP,3425.1,Chandigarh
7083-MIOPC,3439.8,Delhi
1984-GPTEH,3454.5,Noida
1251-KRREG,3469.2,Delhi
0621-JFHOL,3483.9,Chennai
9903-LYSAB,3498.6,Kolkata
0094-OIFMO,3513.3,Chandigarh
9227-UAQFT,3528,Delhi
7301-ABVAD,3542.7,Noida
6614-FHDBO,3557.4,Delhi
7576-ASEJU,3572.1,Chennai
9058-HRZSV,3586.8,Kolkata
4522-AKYLR,3601.5,Chandigarh
0221-WMXNQ,3616.2,Delhi
0303-UNCIP,3630.9,Noida
9947-OTFQU,3645.6,Delhi
0322-YINQP,3660.3,Chennai
0959-WHOKV,3675,Kolkata
4075-JFPGR,3689.7,Chandigarh
4629-NRXKX,3704.4,Delhi
9514-JDSKI,3719.1,Noida
3282-ZISZV,3733.8,Delhi
3675-YDUPJ,3748.5,Chennai
4111-BNXIF,3763.2,Kolkata
7017-VFHAY,3777.9,Chandigarh
6655-LHBYW,3792.6,Delhi
4959-JOSRX,3807.3,Noida
5046-NUHWD,3822,Delhi
7273-TEFQD,3836.7,Chennai
3606-TWKGI,3851.4,Kolkata
7529-ZDFXI,3866.1,Chandigarh
7605-BDWDC,3880.8,Delhi
1950-KSVVJ,3895.5,Noida
0123-CRBRT,3910.2,Delhi
6292-TOSSS,3924.9,Chennai
3197-ARFOY,3939.6,Kolkata
6323-AYBRX,3954.3,Chandigarh
7014-ZZXAW,3969,Delhi
4385-GZQXV,3983.7,Noida
7633-MVPUY,3998.4,Delhi
6366-ZGQGL,4013.1,Chennai
4716-HHKQH,4027.8,Kolkata
5940-AHUHD,4042.5,Chandigarh
6432-TWQLB,4057.2,Delhi
4484-GLZOU,4071.9,Noida
3179-GBRWV,4086.6,Delhi
8645-KWHJO,4101.3,Chennai
4130-MZLCC,4116,Kolkata
0314-TKOSI,4130.7,Chandigarh
8229-MYEJZ,4145.4,Delhi
2080-SRCDE,4160.1,Noida
9577-WJVCQ,4174.8,Delhi
9512-UIBFX,4189.5,Chennai
6202-DYYFX,4204.2,Kolkata
3808-HFKDE,4218.9,Chandigarh
5583-SXDAG,4233.6,Delhi
3488-PGMQJ,4248.3,Noida
3580-REOAC,4263,Delhi
7534-BFESC,4277.7,Chennai
3727-OWVYD,4292.4,Kolkata
2294-SALNE,4307.1,Chandigarh
4847-TAJYI,4321.8,Delhi
1563-IWQEX,4336.5,Noida
8203-XJZRC,4351.2,Delhi
6556-DBKZF,4365.9,Chennai
6851-WEFYX,4380.6,Kolkata
2985-JUUBZ,4395.3,Chandigarh
6390-DSAZX,4410,Delhi
0895-LMRSF,4424.7,Noida
8098-LLAZX,4439.4,Delhi
8266-VBFQL,4454.1,Chennai
8181-YHCMF,4468.8,Kolkata
2240-HSJQD,4483.5,Chandigarh
1248-DYXUB,4498.2,Delhi
0265-EDXBD,4512.9,Noida
4115-BNPJY,4527.6,Delhi
3167-SNQPL,4542.3,Chennai
4091-TVOCN,4557,Kolkata
1098-TDVUQ,4571.7,Chandigarh
7277-OZCGZ,4586.4,Delhi
1557-EMYVT,4601.1,Noida
2799-ARNLO,4615.8,Delhi
7563-BIUPC,4630.5,Chennai
5027-YOCXN,4645.2,Kolkata
3973-SKMLN,4659.9,Chandigarh
2321-OMBXY,4674.6,Delhi
2840-XANRC,4689.3,Noida
6745-JEFZB,4704,Delhi
5020-ZSTTY,4718.7,Chennai
9880-TDQAC,4733.4,Kolkata
8705-WZCYL,4748.1,Chandigarh
7102-JJVTX,4762.8,Delhi
8626-PTQGE,4777.5,Noida
4983-CLMLV,4792.2,Delhi
5701-YVSVF,4806.9,Chennai
5804-LEPIM,4821.6,Kolkata
5697-GOMBF,4836.3,Chandigarh
2739-CACDQ,4851,Delhi
9385-EHGDO,4865.7,Noida
9498-FIMXL,4880.4,Delhi
2379-GYFLQ,4895.1,Chennai
0122-OAHPZ,4909.8,Kolkata
2868-SNELZ,4924.5,Chandigarh
4322-RCYMT,4939.2,Delhi
6680-NENYN,4953.9,Noida
2088-IEBAU,4968.6,Delhi
7982-VCELR,4983.3,Chennai
1343-EHPYB,4998,Kolkata
6035-BXTTY,5012.7,Chandigarh
6885-PKOAM,5027.4,Delhi
7520-HQWJU,5042.1,Noida
9639-BUJXT,5056.8,Delhi
5924-SNGKP,5071.5,Chennai
0021-IKXGC,5086.2,Kolkata
2034-GDRCN,5100.9,Chandigarh
8966-SNIZF,5115.6,Delhi
6243-OZGFH,5130.3,Noida
4654-DLAMQ,5145,Delhi
0513-RBGPE,5159.7,Chennai
5160-UXJED,5174.4,Kolkata
4115-NZRKS,5189.1,Chandigarh
0219-YTZUE,5203.8,Delhi
0623-IIHUG,5218.5,Noida
4572-DVCGN,5233.2,Delhi
3351-NGXYI,5247.9,Chennai
8984-EYLLL,5262.6,Kolkata
9057-MSWCO,5277.3,Chandigarh
9833-TGFHX,5292,Delhi
9294-TDIPC,5306.7,Noida
5229-DTFYB,5321.4,Delhi
0104-PPXDV,5336.1,Chennai
5176-LMJXE,5350.8,Kolkata
3583-KRKMD,5365.5,Chandigarh
1010-DIAUQ,5380.2,Delhi
9069-LGEUL,5394.9,Noida
7302-ZHMHP,5409.6,Delhi
9571-EDEBV,5424.3,Chennai
3520-FJGCV,5439,Kolkata
6563-VRERX,5453.7,Chandigarh
0259-GBZSH,5468.4,Delhi
6122-EFVKN,5483.1,Noida
2805-EDJPQ,5497.8,Delhi
6862-CQUMB,5512.5,Chennai
7156-MXBJE,5527.2,Kolkata
6158-HDPXZ,5541.9,Chandigarh
9601-BRXPO,5556.6,Delhi
2863-IMQDR,5571.3,Noida
5686-CMAWK,5586,Delhi
5651-CRHKQ,5600.7,Chennai
6905-NIQIN,5615.4,Kolkata
8204-YJCLA,5630.1,Chandigarh
5167-ZFFMM,5644.8,Delhi
6583-SZVGP,5659.5,Noida
4895-TMWIR,5674.2,Delhi
0533-BNWKF,5688.9,Chennai
1708-PBBOA,5703.6,Kolkata
8782-LKFPK,5718.3,Chandigarh
5522-JBWMO,5733,Delhi
3597-MVHJT,5747.7,Noida
9774-NRNAU,5762.4,Delhi
0224-RLWWD,5777.1,Chennai
9967-ATRFS,5791.8,Kolkata
3951-NJCVI,5806.5,Chandigarh
2977-CEBSX,5821.2,Delhi
0177-PXBAT,5835.9,Noida
6599-CEBNN,5850.6,Delhi
2519-ERQOJ,5865.3,Chennai
5876-QMYLD,5880,Kolkata
2277-AXSDC,5894.7,Chandigarh
9442-JTWDL,5909.4,Delhi
0979-PHULV,5924.1,Noida
3067-SVMTC,5938.8,Delhi
5495-GPSRW,5953.5,Chennai
7606-BPHHN,5968.2,Kolkata
4742-DRORA,5982.9,Chandigarh
0111-KLBQG,5997.6,Delhi
4800-VHZKI,6012.3,Noida
7989-CHGTL,6027,Delhi
0334-GDDSO,6041.7,Chennai
4163-NCJAK,6056.4,Kolkata
5233-AOZUF,6071.1,Chandigarh
5973-EJGDP,6085.8,Delhi
1996-DBMUS,6100.5,Noida
7916-VCCPB,6115.2,Delhi
4686-GEFRM,6129.9,Chennai
5249-QYHEX,6144.6,Kolkata
0578-SKVMF,6159.3,Chandigarh
5564-NEMQO,6174,Delhi
2233-FAGXV,6188.7,Noida
5605-IYGFG,6203.4,Delhi
7663-ZTEGJ,6218.1,Chennai
3935-TBRZZ,6232.8,Kolkata
8111-BKVDS,6247.5,Chandigarh
2055-SIFSS,6262.2,Delhi
2806-MLNTI,6276.9,Noida
8734-DKSTZ,6291.6,Delhi
4360-PNRQB,6306.3,Chennai
6152-ONASV,6321,Kolkata
9063-ZGTUY,6335.7,Chandigarh
7781-HVGMK,6350.4,Delhi
2181-UAESM,6365.1,Noida
2957-LOLHO,6379.8,Delhi
6048-NJXHX,6394.5,Chennai
2320-SLKMB,6409.2,Kolkata
4980-URKXC,6423.9,Chandigarh
4376-KFVRS,6438.6,Delhi
5886-VLQVU,6453.3,Noida
3577-AMVUX,6468,Delhi
0771-WLCLA,6482.7,Chennai
5628-RKIFK,6497.4,Kolkata
0206-TBWLC,6512.1,Chandigarh
2937-FTHUR,6526.8,Delhi
1910-FMXJM,6541.5,Noida
7752-XUSCI,6556.2,Delhi
4110-PFEUZ,6570.9,Chennai
0732-OCQOC,6585.6,Kolkata
5168-MSWXT,6600.3,Chandigarh
1090-ESELR,6615,Delhi
8592-PLTMQ,6629.7,Noida
5760-WRAHC,6644.4,Delhi
8847-GEOOQ,6659.1,Chennai
0256-LTHVJ,6673.8,Kolkata
4785-FCIFB,6688.5,Chandigarh
8313-NDOIA,6703.2,Delhi
5149-CUZUJ,6717.9,Noida
0942-KOWSM,6732.6,Delhi
4237-CLSMM,6747.3,Chennai
1452-VOQCH,6762,Kolkata
4719-UMSIY,6776.7,Chandigarh
6614-VBEGU,6791.4,Delhi
0880-TKATG,6806.1,Noida
3811-VBYBZ,6820.8,Delhi
1480-BKXGA,6835.5,Chennai
2996-XAUVF,6850.2,Kolkata
9076-AXYIK,6864.9,Chandigarh
5968-XQIVE,6879.6,Delhi
8896-RAZCR,6894.3,Noida
4640-UHDOS,6909,Delhi
4933-IKULF,6923.7,Chennai
3583-EKAPL,6938.4,Kolkata
1304-BCCFO,6953.1,Chandigarh
4104-PVRPS,6967.8,Delhi
9399-APLBT,6982.5,Noida
2359-KMGLI,6997.2,Delhi
3780-DDGSE,7011.9,Chennai
4431-EDMIQ,7026.6,Kolkata
0306-JAELE,7041.3,Chandigarh
6227-HWPWX,7056,Delhi
0486-LGCCH,7070.7,Noida
0447-BEMNG,7085.4,Delhi
4612-SSVHJ,7100.1,Chennai
5168-MQQCA,7114.8,Kolkata
5949-XIKAE,7129.5,Chandigarh
7971-HLVXI,7144.2,Delhi
9094-AZPHK,7158.9,Noida
3649-JPUGY,7173.6,Delhi
8372-JUXUI,7188.3,Chennai
3552-CTCYF,7203,Kolkata
6778-YSNIH,7217.7,Chandigarh
0388-EOPEX,7232.4,Delhi
5756-OZRIO,7247.1,Noida
6579-JPICP,7261.8,Delhi
8205-OTCHB,7276.5,Chennai
4134-BSXLX,7291.2,Kolkata
0505-SPOOW,7305.9,Chandigarh
6235-VDHOM,7320.6,Delhi
7783-YKGDV,7335.3,Noida
4374-YMUSQ,7350,Delhi
4513-CXYIX,7364.7,Chennai
3957-HHLMR,7379.4,Kolkata
7803-XOCCZ,7394.1,Chandigarh
5736-YEJAX,7408.8,Delhi
5609-CEBID,7423.5,Noida
8981-FJGLA,7438.2,Delhi
7218-HKQFK,7452.9,Chennai
4636-QRJKY,7467.6,Kolkata
1135-LMECX,7482.3,Chandigarh
4332-MUOEZ,7497,Delhi
8535-SFUTN,7511.7,Noida
5956-VKDTT,7526.4,Delhi
8677-HDZEE,7541.1,Chennai
2475-MROZF,7555.8,Kolkata
9412-GHEEC,7570.5,Chandigarh
3482-ABPKK,7585.2,Delhi
6705-LXORM,7599.9,Noida
0257-ZESQC,7614.6,Delhi
7531-GQHME,7629.3,Chennai
5174-ITUMV,7644,Kolkata
4109-CYRBD,7658.7,Chandigarh
0913-XWSCN,7673.4,Delhi
6825-UYPFK,7688.1,Noida
8397-MVTAZ,7702.8,Delhi
0750-EBAIU,7717.5,Chennai
8606-CIQUL,7732.2,Kolkata
3571-DPYUH,7746.9,Chandigarh
7601-GNDYK,7761.6,Delhi
0356-OBMAC,7776.3,Noida
8067-NIOYM,7791,Delhi
1403-GYAFU,7805.7,Chennai
4234-XTNEA,7820.4,Kolkata
1297-VQDRP,7835.1,Chandigarh
9282-IZGQK,7849.8,Delhi
5348-CAGXB,7864.5,Noida
0621-HJWXJ,7879.2,Delhi
5844-QVTAT,7893.9,Chennai
8905-IAZPF,7908.6,Kolkata
5394-MEITZ,7923.3,Chandigarh
6859-QNXIQ,7938,Delhi
2782-LFZVW,7952.7,Noida
2866-IKBTM,7967.4,Delhi
1342-JPNKI,7982.1,Chennai
2817-NTQDO,7996.8,Kolkata
7129-AZJDE,8011.5,Chandigarh
6986-IJDHX,8026.2,Delhi
2560-PPCHE,8040.9,Noida
4676-MQUEA,8055.6,Delhi
8138-EALND,8070.3,Chennai
3580-HYCSP,8085,Kolkata
1352-HNSAW,8099.7,Chandigarh
2075-PUEPR,8114.4,Delhi
1982-FEBTD,8129.1,Noida
5301-GAUUY,8143.8,Delhi
5791-KAJFD,8158.5,Chennai
2654-VBVPB,8173.2,Kolkata
1154-HYWWO,8187.9,Chandigarh
2501-XWWTZ,8202.6,Delhi
3716-UVSPD,8217.3,Noida
6815-ABQFQ,8232,Delhi
7343-EOBEU,8246.7,Chennai
3701-SFMUH,8261.4,Kolkata
6103-LIANB,8276.1,Chandigarh
7319-VENRZ,8290.8,Delhi
5846-NEQVZ,8305.5,Noida
6967-QIQRV,8320.2,Delhi
5781-RFZRP,8334.9,Chennai
0939-YAPAF,8349.6,Kolkata
0308-IVGOK,8364.3,Chandigarh
7293-LSCDV,8379,Delhi
7025-WCBNE,8393.7,Noida
5756-JYOJT,8408.4,Delhi
4710-FDUIZ,8423.1,Chennai
6030-REHUX,8437.8,Kolkata
9548-LIGTA,8452.5,Chandigarh
5150-LJNSR,8467.2,Delhi
8270-RKSAP,8481.9,Noida
6522-YRBXD,8496.6,Delhi
2640-LYMOV,8511.3,Chennai
1218-VKFPE,8526,Kolkata
3627-FHKBK,8540.7,Chandigarh
2865-TCHJW,8555.4,Delhi
1423-BMPBQ,8570.1,Noida
2393-DIVAI,8584.8,Delhi
5192-EBGOV,8599.5,Chennai
4568-KNYWR,8614.2,Kolkata
8752-IMQOS,8628.9,Chandigarh
0742-LAFQK,8643.6,Delhi
0795-LAFGP,8658.3,Noida
0619-OLYUR,8673,Delhi
5512-IDZEI,8687.7,Chennai
0459-SPZHJ,8702.4,Kolkata
0215-BQKGS,8717.1,Chandigarh
9244-ZVAPM,8731.8,Delhi
0719-SYFRB,8746.5,Noida
8208-EUMTE,8761.2,Delhi
5172-MIGPM,8775.9,Chennai
1710-RCXUS,8790.6,Kolkata
0374-FIUCA,8805.3,Chandigarh
5839-SUYVZ,8820,Delhi
5173-ZXXXL,8834.7,Noida
1096-ADRUX,8849.4,Delhi
2001-MCUUW,8864.1,Chennai
2731-GJRDG,8878.8,Kolkata
4723-BEGSG,8893.5,Chandigarh
6516-NKQBO,8908.2,Delhi
8672-OAUPW,8922.9,Noida
8207-DMRVL,8937.6,Delhi
3419-SNJJD,8952.3,Chennai
6543-CPZMK,8967,Kolkata
4765-OXPPD,8981.7,Chandigarh
2804-ETQDK,8996.4,Delhi
6689-VRRTK,9011.1,Noida
7138-GIRSH,9025.8,Delhi
9396-ZSFLL,9040.5,Chennai
6464-KEXXH,9055.2,Kolkata
7134-MJPDY,9069.9,Chandigarh
5240-CAOYT,9084.6,Delhi
4059-IIEBK,9099.3,Noida
4881-JVQOD,9114,Delhi
0516-UXRMT,9128.7,Chennai
4851-BQDNX,9143.4,Kolkata
5148-HKFIR,9158.1,Chandigarh
1009-IRMNA,9172.8,Delhi
3003-CMDUU,9187.5,Noida
5016-IBERQ,9202.2,Delhi
6797-UCJHZ,9216.9,Chennai
2469-DTSGX,9231.6,Kolkata
4554-YGZIH,9246.3,Chandigarh
5099-BAILX,9261,Delhi
9931-KGHOA,9275.7,Noida
1775-KWJKQ,9290.4,Delhi
7665-VIGUD,9305.1,Chennai
9411-TPQQV,9319.8,Kolkata
7207-RMRDB,9334.5,Chandigarh
7954-MLBUN,9349.2,Delhi
2077-DDHJK,9363.9,Noida
4913-EHYUI,9378.6,Delhi
0195-IESCP,9393.3,Chennai
9574-BOSMD,9408,Kolkata
4580-TMHJU,9422.7,Chandigarh
0970-ETWGE,9437.4,Delhi
4908-XAXAY,9452.1,Noida
8404-VLQFB,9466.8,Delhi
1626-ERCMM,9481.5,Chennai
0887-HJGAR,9496.2,Kolkata
2391-IPLOP,9510.9,Chandigarh
5644-PDMZC,9525.6,Delhi
3509-GWQGF,9540.3,Noida
9576-ANLXO,9555,Delhi
2024-BASKD,9569.7,Chennai
5845-BZZIB,9584.4,Kolkata
1140-UKVZG,9599.1,Chandigarh
4160-AMJTL,9613.8,Delhi
5183-SNMJQ,9628.5,Noida
8100-PNJMH,9643.2,Delhi
7838-LAZFO,9657.9,Chennai
4464-JCOLN,9672.6,Kolkata
2085-JVGAD,9687.3,Chandigarh
5650-VDUDS,9702,Delhi
8095-WANWK,9716.7,Noida
3030-ZKIWL,9731.4,Delhi
9565-FLVCG,9746.1,Chennai
8755-OGKNA,9760.8,Kolkata
2800-VEQXM,9775.5,Chandigarh
7538-GWHML,9790.2,Delhi
5533-RJFTJ,9804.9,Noida
3859-CVCET,9819.6,Delhi
0214-JHPFW,9834.3,Chennai
5642-MHDQT,9849,Kolkata
3088-FVYWK,9863.7,Chandigarh
3276-HDUEG,9878.4,Delhi
9092-GDZKO,9893.1,Noida
0823-HSCDJ,9907.8,Delhi
3729-OWRVL,9922.5,Chennai
2324-AALNO,9937.2,Kolkata
0822-GAVAP,9951.9,Chandigarh
5760-IFJOZ,9966.6,Delhi
2826-UWHIS,9981.3,Noida
1448-PWKYE,9996,Delhi
7501-IWUNG,10010.7,Chennai
4957-TREIR,10025.4,Kolkata
7251-LJBQN,10040.1,Chandigarh
8040-MNRTF,10054.8,Delhi
1536-HBSWP,10069.5,Noida
5313-FPXWG,10084.2,Delhi
0067-DKWBL,10098.9,Chennai
0946-FKYTX,10113.6,Kolkata
5076-YVXCM,10128.3,Chandigarh
8262-COGGB,10143,Delhi
6663-JOCQO,10157.7,Noida
9620-QJREV,10172.4,Delhi
2276-YDAVZ,10187.1,Chennai
2682-KEVRP,10201.8,Kolkata
2480-JZOSN,10216.5,Chandigarh
0078-XZMHT,10231.2,Delhi
5896-NPFWW,10245.9,Noida
9978-HYCIN,10260.6,Delhi
8338-QIUNR,10275.3,Chennai
1525-LNLOJ,10290,Kolkata
9450-TRJUU,10304.7,Chandigarh
1766-GKNMI,10319.4,Delhi
6942-LBFDP,10334.1,Noida
1456-TWCGB,10348.8,Delhi
7133-VBDCG,10363.5,Chennai
7596-ZYWBB,10378.2,Kolkata
8329-UTMVM,10392.9,Chandigarh
3014-WJKSM,10407.6,Delhi
3347-YJZZE,10422.3,Noida
1029-QFBEN,10437,Delhi
7929-DMBCV,10451.7,Chennai
9661-JALZV,10466.4,Kolkata
5433-KYGHE,10481.1,Chandigarh
4312-KFRXN,10495.8,Delhi
5575-TPIZQ,10510.5,Noida
0114-IGABW,10525.2,Delhi
9944-AEXBM,10539.9,Chennai
1853-ARAAQ,10554.6,Kolkata
6952-OMNWB,10569.3,Chandigarh
4697-LUPSU,10584,Delhi
8434-VGEQQ,10598.7,Noida
4952-YSOGZ,10613.4,Delhi
1589-AGTLK,10628.1,Chennai
5244-IRFIH,10642.8,Kolkata
6549-YMFAW,10657.5,Chandigarh
4950-HKQTE,10672.2,Delhi
6786-OBWQR,10686.9,Noida
2684-EIWEO,10701.6,Delhi
2753-JMMCV,10716.3,Chennai
6439-GTPCA,10731,Kolkata
6621-YOBKI,10745.7,Chandigarh
1216-JWVUX,10760.4,Delhi
